gillnet_pair,animal_type,exp_unit,bpue
16,market_value_fish_mvpue,control,0
17,market_value_fish_mvpue,control,0
18,market_value_fish_mvpue,control,0
19,market_value_fish_mvpue,control,0
20,market_value_fish_mvpue,control,7.06
21,market_value_fish_mvpue,control,13.34
22,market_value_fish_mvpue,control,0.99
23,market_value_fish_mvpue,control,13.73
24,market_value_fish_mvpue,control,1.18
25,market_value_fish_mvpue,control,16.14
26,market_value_fish_mvpue,control,6.9
27,market_value_fish_mvpue,control,54.22
28,market_value_fish_mvpue,control,44.6
1,market_value_fish_mvpue,illuminated,2.67
2,market_value_fish_mvpue,illuminated,0
3,market_value_fish_mvpue,illuminated,0
4,market_value_fish_mvpue,illuminated,0
5,market_value_fish_mvpue,illuminated,0
6,market_value_fish_mvpue,illuminated,0.48
7,market_value_fish_mvpue,illuminated,0
8,market_value_fish_mvpue,illuminated,0
9,market_value_fish_mvpue,illuminated,0
10,market_value_fish_mvpue,illuminated,7.67
11,market_value_fish_mvpue,illuminated,3.37
12,market_value_fish_mvpue,illuminated,2.67
13,market_value_fish_mvpue,illuminated,0
14,market_value_fish_mvpue,illuminated,0
15,market_value_fish_mvpue,illuminated,0
16,market_value_fish_mvpue,illuminated,4.03
17,market_value_fish_mvpue,illuminated,0
18,market_value_fish_mvpue,illuminated,0.22
19,market_value_fish_mvpue,illuminated,2.37
20,market_value_fish_mvpue,illuminated,0
21,market_value_fish_mvpue,illuminated,1.68
22,market_value_fish_mvpue,illuminated,6.32
23,market_value_fish_mvpue,illuminated,12.46
24,market_value_fish_mvpue,illuminated,0
25,market_value_fish_mvpue,illuminated,30.35
26,market_value_fish_mvpue,illuminated,41.69
27,market_value_fish_mvpue,illuminated,34.18
28,market_value_fish_mvpue,illuminated,43.32
1,haulback_time,control,2.89
2,haulback_time,control,8.21
3,haulback_time,control,17.89
4,haulback_time,control,10.46
5,haulback_time,control,10.4
6,haulback_time,control,13.07
7,haulback_time,control,8.56
8,haulback_time,control,28.57
9,haulback_time,control,12.72
10,haulback_time,control,13.85
11,haulback_time,control,12.63
12,haulback_time,control,15.03
13,haulback_time,control,14.45
